Gene	Direction
533	Cap2	All
534	Carnmt1	All
535	Ccdc136	All
536	Ccdc30	All
537	Ccdc66	All
538	Ccdc74a	All
539	Cckbr	All
540	Ccl9	All
541	Cdadc1	All
542	Cdh6	All
543	Cdk14	All
544	Cdk18	All
545	Cebpa	All
546	Celf2	All
547	Celsr2	All
548	Cenpw	All
549	Cers6	All
550	Chm	All
551	Chn2	All
552	Chrm3	All
553	Clec4a3	All
554	Clic1	All
555	Cmya5	All
556	Cnih3	All
557	Cntn6	All
558	Cntnap5a	All
559	Coa6	All
560	Col12a1	All
561	Col8a1	All
562	Cops8	All
563	Coro6	All
564	Cox6c	All
565	Cplx2	All
566	Crhr1	All
567	Crtac1	All
568	Csf1r	All
569	Cstf2	All
570	Ctnnbip1	All
571	Ctps2	All
572	Ctss	All
573	Cul4b	All
574	Cux1	All
575	Cux2	All
576	Cx3cl1	All
577	Dclre1a	All
578	Ddn	All
579	Ddx31	All
580	Dgkd	All
581	Diras2	All
582	Dis3l	All
583	Dkk3	All
584	Dlg1	All
585	Dlgap1	All
586	Dolk	All
587	Dpf3	All
588	Dpy19l3	All
589	Drd	All
590	Dus3l	All
591	Dusp3	All
592	Ecd	All
593	Edn3	All
594	Efna5	All
595	Efnb2	All
596	Ehd1	All
597	Eif1ad	All
598	Emb	All
599	Eml6	All
600	Emx1	All
601	Emx2	All
602	Endog	All
603	Epb41l1	All
604	Epha7	All
605	Errfi1	All
606	Etnk2	All
607	Etohi1	All
608	Etv4	All
609	Exoc3	All
610	F2rl2	All
611	Fam110b	All
612	Fam124a	All
613	Fam13a	All
614	Fam169a	All
615	Fancd2	All
616	Fcer1g	All
617	Fen1	All
618	Fibcd1	All
619	Fmo2	All
620	Fndc4	All
621	Frmpd3	All
622	Fzd3	All
623	Gabra5	All
624	Gabrg3	All
625	Galnt14	All
626	Galt	All
627	Gbe1	All
628	Gdpgp1	All
629	Gin1	All
630	Gli3	All
631	Glul	All
632	Gna13	All
633	Gng13	All
634	Gpc4	All
635	Gpr137c	All
636	Gria1	All
637	Gtf3c4	All
638	Habp4	All
639	hexb	All
640	Hist1h4i	All
641	Hivep1	All
642	Hmcn1	All
643	Hmox1	All
644	Hpcal4	All
645	Hrh1	All
646	Hrh2	All
647	Hs6st2	All
648	Hscb	All
649	Htr1b	All
650	Htr7	All
651	Ica1l	All
652	Igfn1	All
653	Ildr2	All
654	Inpp5d	All
655	Islr2	All
656	Itgb3	All
657	Itgb5	All
658	Itm2c	All
659	Itpkb	All
660	Kat2b	All
661	Kcnb2	All
662	Kcnq4	All
663	Kcnu1	All
664	Kctd15	All
665	Kctd8	All
666	Kif9	All
667	Kitl	All
668	Klf13	All
669	Klhl23	All
670	Klhl26	All
671	Klhl3	All
672	Krr1	All
673	Ksr1	All
674	Lamb3	All
675	Lamp5	All
676	Ldhb	All
677	Lhfp	All
678	Lifr	All
679	Lipa	All
680	Lipe	All
681	Lrfn5	All
682	Lrrc75a	All
683	Lrrn1	All
684	Luc7l	All
685	Mad2l2	All
686	Magi1	All
687	Man1c1	All
688	Map6d1	All
689	Mapk1	All
690	Mapk12	All
691	Mast2	All
692	Mast3	All
693	Mat2a	All
694	Mcam	All
695	Mcl1	All
696	Mdga1	All
697	Me3	All
698	Med27	All
699	Mef2c	All
700	Men1	All
701	Met	All
702	Mgea5	All
703	Mical1	All
704	Micu2	All
705	Mmp17	All
706	Mpp3	All
707	Mrgpre	All
708	Mtif3	All
709	Mtpn	All
710	Mtrf1	All
711	Mum1	All
712	Mxi1	All
713	Myh2	All
714	Mylk3	All
715	Nell2	All
716	Neu4	All
717	Neurod1	All
718	Neurod6	All
719	Nfatc2	All
720	Nfkbiz	All
721	Nfya	All
722	Nhsl2	All
723	Nphp4	All
724	Npnt	All
725	Nrros	All
726	Nrsn1	All
727	Nrxn3	All
